Frame_ID,Frame_Name,Count,Percentage
3,Territoriality,426,2.6%
9,Historical Pride,350,2.2%
2,National Identity,299,1.8%
1,State Identification,288,1.8%
10,Achievements,264,1.6%
11,Militarism,260,1.6%
4,Ancestry,221,1.4%
5,Citizenship,163,1.0%
7,Religion,138,0.8%
12,Superiority,98,0.6%
8,Obedience,91,0.6%
6,Language,86,0.5%
13,Unity/Diversity,47,0.3%
14,Global Mission,16,0.1%
