entity1,entity2,count
Polonya,Çekoslovakya,6
Rusya,İstanbul,6
ABD,İtalya,6
Almanya,Macaristan,6
Rusya,İtalya,6
Erdel,Osmanlı Devleti,6
Lehistan,Osmanlı,6
Filistin,Suriye,6
Doğu Akdeniz,Osmanlı Devleti,6
Romanya,Sırbistan,6
Fransa,Macaristan,6
Hiroşima,Nagazaki,6
Amerika,Fransa,6
Osmanlı Devleti,Çarlık Rusya,6
Irak,Musul,6
Azerbaycan,Ermenistan,6
Avrupa,Batı,6
Fransa,Japonya,6
Akdeniz,Türkiye,6
Avrupalı,Rusya,6
Diyarbakır,Erzurum,6
Balkan,Osmanlı,5
Sovyet,Türkiye,5
Mısır,Ürdün,5
Bulgar,Sırp,5
Türkiye,İran,5
Osmanlı Devleti,Viyana,5
Mustafa Kemal,Osmanlı Devleti,5
Doğu Roma İmparatorluğu,İstanbul,5
Adana,Fransa,5
Türkiye,İtalya,5
Yunanistan,İtalya,5
Bitlis,Muş,5
Dünya Savaşı,İngiltere,5
Osmanlı Devleti,Safevi,5
Ermenistan,Türkiye,5
Yunanistan,İngiltere,5
Adana,Mersin,5
Irak,Mısır,5
Anadolu,Bursa,5
Kutsal İttifak,Osmanlı Devleti,5
Mustafa Kemal,Şam,5
Osmanlı Devleti,Türk,5
Macaristan,İtalya,5
Balkanlar,İstanbul,5
Anadolu,Horasan,5
Safevi,İran,5
Batı,Doğu,5
Romanya,Yugoslavya,5
Edirne,Murad,5
Mustafa Kemal,Selanik,5
Macaristan,Çekoslovakya,5
Millî Mücadele,Türkiye,5
Edirne,Osmanlı Devleti,5
Anadolu,Karadeniz,5
Makedonya,Osmanlı Devleti,5
Rusya,Yunanistan,5
Girit,Osmanlı Devleti,5
Belçika,Fransa,5
Akdeniz,İtalya,5
Afrika,Asya,5
Musul Sorunu,Türkiye,5
Bursa ' nın Fethi,İznik ' in Fethi,5
Bursa ' nın Fethi,Koyunhisar Savaşı,5
Anadolu,Yıldırım Bayezid,5
Afrika,Avrupa,5
Osmanlı Devleti,İspanya,5
Anadolu,Türk - İslam,5
Kanuni Sultan Süleyman,Osmanlı Devleti,5
Metropolitan Museum,New York,5
ABD,Metropolitan Museum,5
Koyunhisar Savaşı,İznik ' in Fethi,5
ABD,Çin,5
Azerbaycan,Türkiye,5
Emîr Timur,Yıldırım Bayezid,5
Kırım,Rusya,5
Selanik,İstanbul,5
Karadağ,Yunanistan,5
Bulgaristan,Fransa,5
Karadağ,Romanya,5
Suriye,Ürdün,5
Karadağ,Osmanlı Devleti,5
Mustafa Kemal,İzmir,5
Arap,İsrail,5
Boğdan,Erdel,5
Celâli İsyanları,Osmanlı Devleti,5
Avrupa,Türkistan,5
Avrupa,Balkanlar,5
Doğu Akdeniz,Venedik,5
Amerika,Hindistan,5
Osmanlı,Türkiye Selçuklu,4
Anadolu,Balkan,4
Kıbrıs,İngiltere,4
Rusya,İran,4
Doğu Roma,Osmanlı,4
Hollanda,Osmanlı Devleti,4
Panslavizm,Rusya,4
Doğu Roma,Osmanlı Devleti,4
Batı,İslam,4
Fransa,İspanya,4
